Group,Bin_group,product,pre_reading,post_reading,worker_id,age,gender,education,income
LC,C,laptop,34,34,A1ITEGLA8ZQ8TL,36-45,Female,Masters,Prefer not to say
T,T,camera,47,50,A1J2F1P89F50WO,56+,Male,Bachelors,"0 - $100,000"
T,T,headphone,43,47,A1J2F1P89F50WO,56+,Male,Bachelors,"0 - $100,000"
T,T,laptop,50,50,A1J2F1P89F50WO,56+,Male,Bachelors,"0 - $100,000"
HC,C,camera,39,40,A1JIBGPW0L7UJ8,56+,Female,Masters,"$100,001 - $200,000"
HC,C,headphone,39,39,A1JIBGPW0L7UJ8,56+,Female,Masters,"$100,001 - $200,000"
HC,C,laptop,40,37,A1JIBGPW0L7UJ8,56+,Female,Masters,"$100,001 - $200,000"
HC,C,camera,43,34,A1JPCC3YC36VE7,36-45,Male,Masters,"0 - $100,000"
HC,C,headphone,42,37,A1JPCC3YC36VE7,36-45,Male,Masters,"0 - $100,000"
HC,C,laptop,40,45,A1JPCC3YC36VE7,36-45,Male,Masters,"0 - $100,000"
HC,C,camera,45,49,A1JUFVE0Y67XQ0,46-55,Female,Bachelors,"0 - $100,000"
HC,C,headphone,47,50,A1JUFVE0Y67XQ0,46-55,Female,Bachelors,"0 - $100,000"
HC,C,laptop,47,50,A1JUFVE0Y67XQ0,46-55,Female,Bachelors,"0 - $100,000"
T,T,camera,35,35,A1KDLWEGWA26JI,26-35,Male,High school/GED,"0 - $100,000"
T,T,headphone,35,35,A1KDLWEGWA26JI,26-35,Male,High school/GED,"0 - $100,000"
T,T,laptop,38,39,A1KDLWEGWA26JI,26-35,Male,High school/GED,"0 - $100,000"
T,T,camera,26,28,A1L1S0IAPZB4MO,26-35,Female,High school/GED,"0 - $100,000"
T,T,headphone,23,22,A1L1S0IAPZB4MO,26-35,Female,High school/GED,"0 - $100,000"
T,T,laptop,28,27,A1L1S0IAPZB4MO,26-35,Female,High school/GED,"0 - $100,000"
T,T,camera,45,50,A1L6E4CSO1Y5YT,26-35,Female,Bachelors,Prefer not to say
T,T,headphone,42,28,A1L6E4CSO1Y5YT,26-35,Female,Bachelors,Prefer not to say
T,T,laptop,49,45,A1L6E4CSO1Y5YT,26-35,Female,Bachelors,Prefer not to say
HC,C,camera,42,44,A1L7QPDYJJG98Y,56+,Male,Bachelors,"$200,001 - $300,000"
HC,C,headphone,41,44,A1L7QPDYJJG98Y,56+,Male,Bachelors,"$200,001 - $300,000"
HC,C,laptop,44,44,A1L7QPDYJJG98Y,56+,Male,Bachelors,"$200,001 - $300,000"
LC,C,camera,43,45,A1LFOS4GL90HWU,36-45,Female,Masters,"$100,001 - $200,000"
LC,C,headphone,35,35,A1LFOS4GL90HWU,36-45,Female,Masters,"$100,001 - $200,000"
LC,C,laptop,40,39,A1LFOS4GL90HWU,36-45,Female,Masters,"$100,001 - $200,000"
LC,C,camera,44,45,A1M3HU7RRX0BXZ,36-45,Female,Doctorate,"$100,001 - $200,000"
LC,C,headphone,40,42,A1M3HU7RRX0BXZ,36-45,Female,Doctorate,"$100,001 - $200,000"
LC,C,laptop,41,44,A1M3HU7RRX0BXZ,36-45,Female,Doctorate,"$100,001 - $200,000"
T,T,camera,46,45,A1M40HV8OSPYOW,26-35,Male,High school/GED,"$300,001 - $500,000"
T,T,headphone,44,44,A1M40HV8OSPYOW,26-35,Male,High school/GED,"$300,001 - $500,000"
T,T,laptop,46,44,A1M40HV8OSPYOW,26-35,Male,High school/GED,"$300,001 - $500,000"
T,T,camera,47,50,A1MPNYNTLMLJCR,46-55,Female,Bachelors,"0 - $100,000"
T,T,headphone,50,50,A1MPNYNTLMLJCR,46-55,Female,Bachelors,"0 - $100,000"
T,T,laptop,45,50,A1MPNYNTLMLJCR,46-55,Female,Bachelors,"0 - $100,000"
T,T,camera,50,50,A1MTRZDRKNB9GV,56+,Female,High school/GED,"0 - $100,000"
T,T,headphone,50,50,A1MTRZDRKNB9GV,56+,Female,High school/GED,"0 - $100,000"
T,T,laptop,48,48,A1MTRZDRKNB9GV,56+,Female,High school/GED,"0 - $100,000"
HC,C,camera,41,41,A1N2IILECAZ0DH,26-35,Male,Masters,"0 - $100,000"
HC,C,headphone,41,41,A1N2IILECAZ0DH,26-35,Male,Masters,"0 - $100,000"
HC,C,laptop,41,41,A1N2IILECAZ0DH,26-35,Male,Masters,"0 - $100,000"
T,T,camera,43,36,A1N2XAUOT11I4Y,46-55,Male,Bachelors,"0 - $100,000"
T,T,headphone,35,37,A1N2XAUOT11I4Y,46-55,Male,Bachelors,"0 - $100,000"
T,T,laptop,36,31,A1N2XAUOT11I4Y,46-55,Male,Bachelors,"0 - $100,000"
T,T,camera,20,23,A1N4FBIWD4FRTH,26-35,Female,High school/GED,"$200,001 - $300,000"
T,T,headphone,19,22,A1N4FBIWD4FRTH,26-35,Female,High school/GED,"$200,001 - $300,000"
T,T,laptop,22,15,A1N4FBIWD4FRTH,26-35,Female,High school/GED,"$200,001 - $300,000"
LC,C,camera,33,32,A1NUW3AISE7RZC,36-45,Female,Masters,"0 - $100,000"
LC,C,headphone,34,32,A1NUW3AISE7RZC,36-45,Female,Masters,"0 - $100,000"
LC,C,laptop,33,29,A1NUW3AISE7RZC,36-45,Female,Masters,"0 - $100,000"
T,T,camera,40,47,A1NXAYOJWKJMZO,36-45,Female,Bachelors,"0 - $100,000"
T,T,headphone,29,19,A1NXAYOJWKJMZO,36-45,Female,Bachelors,"0 - $100,000"
T,T,laptop,42,36,A1NXAYOJWKJMZO,36-45,Female,Bachelors,"0 - $100,000"
HC,C,camera,43,47,A1O4W7F05T6HY0,36-45,Male,High school/GED,"0 - $100,000"
HC,C,headphone,48,48,A1O4W7F05T6HY0,36-45,Male,High school/GED,"0 - $100,000"
HC,C,laptop,48,49,A1O4W7F05T6HY0,36-45,Male,High school/GED,"0 - $100,000"
T,T,camera,48,47,A1O5V7Q9GSPPDH,36-45,Male,Masters,"$300,001 - $500,000"
T,T,headphone,48,48,A1O5V7Q9GSPPDH,36-45,Male,Masters,"$300,001 - $500,000"
T,T,laptop,47,48,A1O5V7Q9GSPPDH,36-45,Male,Masters,"$300,001 - $500,000"
T,T,camera,35,35,A1O6VAS476J91K,26-35,Female,High school/GED,Prefer not to say
T,T,headphone,40,41,A1O6VAS476J91K,26-35,Female,High school/GED,Prefer not to say
T,T,laptop,46,46,A1O6VAS476J91K,26-35,Female,High school/GED,Prefer not to say
HC,C,camera,37,39,A1OVMBQ6MPJ1UF,36-45,Female,High school/GED,"0 - $100,000"
HC,C,headphone,39,39,A1OVMBQ6MPJ1UF,36-45,Female,High school/GED,"0 - $100,000"
HC,C,laptop,36,39,A1OVMBQ6MPJ1UF,36-45,Female,High school/GED,"0 - $100,000"
T,T,camera,45,48,A1PC4SDFSDYQLX,26-35,Female,Doctorate,"0 - $100,000"
T,T,headphone,34,39,A1PC4SDFSDYQLX,26-35,Female,Doctorate,"0 - $100,000"
T,T,laptop,38,47,A1PC4SDFSDYQLX,26-35,Female,Doctorate,"0 - $100,000"
T,T,camera,50,50,A1PEUF8MH49BX,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,45,45,A1PEUF8MH49BX,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,30,30,A1PEUF8MH49BX,26-35,Male,Bachelors,"0 - $100,000"
LC,C,camera,40,38,A1POAW2RQBTBXB,26-35,Female,High school/GED,"$200,001 - $300,000"
LC,C,headphone,39,36,A1POAW2RQBTBXB,26-35,Female,High school/GED,"$200,001 - $300,000"
LC,C,laptop,40,38,A1POAW2RQBTBXB,26-35,Female,High school/GED,"$200,001 - $300,000"
HC,C,camera,41,40,A1Q8BVNW9B7OKQ,56+,Male,Bachelors,"$500,001 - $1,000,000"
HC,C,headphone,40,41,A1Q8BVNW9B7OKQ,56+,Male,Bachelors,"$500,001 - $1,000,000"
HC,C,laptop,41,39,A1Q8BVNW9B7OKQ,56+,Male,Bachelors,"$500,001 - $1,000,000"
T,T,camera,45,42,A1QBDIKCMD3YQA,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,42,44,A1QBDIKCMD3YQA,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,50,49,A1QBDIKCMD3YQA,26-35,Male,Bachelors,"0 - $100,000"
LC,C,camera,40,45,A1QNGYWCKDFF6W,26-35,Female,Bachelors,"$100,001 - $200,000"
LC,C,headphone,38,40,A1QNGYWCKDFF6W,26-35,Female,Bachelors,"$100,001 - $200,000"
LC,C,laptop,39,37,A1QNGYWCKDFF6W,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,31,31,A1QVVW9WZIYIB9,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,30,31,A1QVVW9WZIYIB9,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,34,32,A1QVVW9WZIYIB9,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,34,39,A1QW2XUJ7KZCV5,46-55,Female,High school/GED,"$100,001 - $200,000"
T,T,headphone,46,47,A1QW2XUJ7KZCV5,46-55,Female,High school/GED,"$100,001 - $200,000"
T,T,laptop,37,40,A1QW2XUJ7KZCV5,46-55,Female,High school/GED,"$100,001 - $200,000"
T,T,camera,35,35,A1QWDD7YR0LPX0,18-25,Female,Bachelors,"0 - $100,000"
T,T,headphone,35,35,A1QWDD7YR0LPX0,18-25,Female,Bachelors,"0 - $100,000"
T,T,laptop,30,30,A1QWDD7YR0LPX0,18-25,Female,Bachelors,"0 - $100,000"
HC,C,camera,47,47,A1R5O1NGQM4OU1,56+,Male,Masters,"$300,001 - $500,000"
HC,C,headphone,48,46,A1R5O1NGQM4OU1,56+,Male,Masters,"$300,001 - $500,000"
HC,C,laptop,47,46,A1R5O1NGQM4OU1,56+,Male,Masters,"$300,001 - $500,000"
T,T,camera,29,28,A1RGKDDAQN68NO,18-25,Female,Masters,"$100,001 - $200,000"
T,T,headphone,33,31,A1RGKDDAQN68NO,18-25,Female,Masters,"$100,001 - $200,000"
T,T,laptop,29,29,A1RGKDDAQN68NO,18-25,Female,Masters,"$100,001 - $200,000"
T,T,camera,50,50,A1RO1HA4SAH1OQ,56+,Male,High school/GED,"0 - $100,000"
T,T,headphone,50,30,A1RO1HA4SAH1OQ,56+,Male,High school/GED,"0 - $100,000"
T,T,laptop,50,50,A1RO1HA4SAH1OQ,56+,Male,High school/GED,"0 - $100,000"
T,T,camera,43,44,A1S593BAMZ3TY9,56+,Male,Masters,"0 - $100,000"
T,T,headphone,38,41,A1S593BAMZ3TY9,56+,Male,Masters,"0 - $100,000"
T,T,laptop,38,35,A1S593BAMZ3TY9,56+,Male,Masters,"0 - $100,000"
LC,C,camera,37,40,A1SG9J4RVGW9BI,26-35,Male,Bachelors,"0 - $100,000"
LC,C,headphone,30,32,A1SG9J4RVGW9BI,26-35,Male,Bachelors,"0 - $100,000"
LC,C,laptop,37,38,A1SG9J4RVGW9BI,26-35,Male,Bachelors,"0 - $100,000"
HC,C,camera,43,44,A1SSX1P87H7JVS,46-55,Male,High school/GED,"0 - $100,000"
HC,C,headphone,45,46,A1SSX1P87H7JVS,46-55,Male,High school/GED,"0 - $100,000"
HC,C,laptop,45,45,A1SSX1P87H7JVS,46-55,Male,High school/GED,"0 - $100,000"
LC,C,camera,33,38,A1SWGSFIMZJQE,26-35,Male,High school/GED,"$100,001 - $200,000"
LC,C,headphone,37,37,A1SWGSFIMZJQE,26-35,Male,High school/GED,"$100,001 - $200,000"
LC,C,laptop,36,33,A1SWGSFIMZJQE,26-35,Male,High school/GED,"$100,001 - $200,000"
T,T,camera,30,35,A1T0QDGU4D0A0V,26-35,Female,Masters,"$100,001 - $200,000"
T,T,headphone,31,34,A1T0QDGU4D0A0V,26-35,Female,Masters,"$100,001 - $200,000"
T,T,laptop,34,31,A1T0QDGU4D0A0V,26-35,Female,Masters,"$100,001 - $200,000"
T,T,camera,48,49,A1T25RZO90Z7XA,36-45,Male,Masters,"$300,001 - $500,000"
T,T,headphone,48,50,A1T25RZO90Z7XA,36-45,Male,Masters,"$300,001 - $500,000"
T,T,laptop,48,50,A1T25RZO90Z7XA,36-45,Male,Masters,"$300,001 - $500,000"
T,T,camera,40,33,A1TC14EZIN2DKF,36-45,Male,Masters,"$100,001 - $200,000"
T,T,headphone,21,20,A1TC14EZIN2DKF,36-45,Male,Masters,"$100,001 - $200,000"
T,T,laptop,33,37,A1TC14EZIN2DKF,36-45,Male,Masters,"$100,001 - $200,000"
T,T,camera,45,45,A1TEXCUTI4IUUN,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,45,48,A1TEXCUTI4IUUN,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,46,50,A1TEXCUTI4IUUN,26-35,Female,Bachelors,"0 - $100,000"
T,T,camera,36,41,A1TK1M16KJJKEO,56+,Female,Masters,"0 - $100,000"
T,T,headphone,36,44,A1TK1M16KJJKEO,56+,Female,Masters,"0 - $100,000"
T,T,laptop,47,50,A1TK1M16KJJKEO,56+,Female,Masters,"0 - $100,000"
T,T,camera,38,45,A1TPO4S2DZBXXV,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,40,44,A1TPO4S2DZBXXV,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,42,44,A1TPO4S2DZBXXV,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,camera,42,42,A1TRO537S2U7QV,46-55,Male,Masters,"$1,000,000+"
T,T,headphone,42,42,A1TRO537S2U7QV,46-55,Male,Masters,"$1,000,000+"
T,T,laptop,41,41,A1TRO537S2U7QV,46-55,Male,Masters,"$1,000,000+"
T,T,camera,50,50,A1U5UPSCURNRAA,46-55,Male,Bachelors,"0 - $100,000"
T,T,headphone,50,50,A1U5UPSCURNRAA,46-55,Male,Bachelors,"0 - $100,000"
T,T,laptop,38,40,A1U5UPSCURNRAA,46-55,Male,Bachelors,"0 - $100,000"
T,T,camera,29,32,A1UPJ6S46IUUJP,36-45,Prefer not to say,Prefer not to say,"0 - $100,000"
T,T,headphone,32,31,A1UPJ6S46IUUJP,36-45,Prefer not to say,Prefer not to say,"0 - $100,000"
T,T,laptop,31,32,A1UPJ6S46IUUJP,36-45,Prefer not to say,Prefer not to say,"0 - $100,000"
LC,C,camera,35,34,A1USB9NEEADCTB,18-25,Male,Bachelors,"0 - $100,000"
LC,C,headphone,35,35,A1USB9NEEADCTB,18-25,Male,Bachelors,"0 - $100,000"
LC,C,laptop,35,40,A1USB9NEEADCTB,18-25,Male,Bachelors,"0 - $100,000"
LC,C,camera,46,50,A1UVXOTKZ69ZOL,18-25,Female,Bachelors,"0 - $100,000"
LC,C,headphone,46,50,A1UVXOTKZ69ZOL,18-25,Female,Bachelors,"0 - $100,000"
LC,C,laptop,49,49,A1UVXOTKZ69ZOL,18-25,Female,Bachelors,"0 - $100,000"
T,T,camera,41,42,A1UZ91EFSJFUM8,36-45,Female,High school/GED,"0 - $100,000"
T,T,headphone,40,41,A1UZ91EFSJFUM8,36-45,Female,High school/GED,"0 - $100,000"
T,T,laptop,46,48,A1UZ91EFSJFUM8,36-45,Female,High school/GED,"0 - $100,000"
HC,C,camera,49,50,A1V8FJHR0XVNCV,18-25,Female,Bachelors,"$500,001 - $1,000,000"
HC,C,headphone,50,50,A1V8FJHR0XVNCV,18-25,Female,Bachelors,"$500,001 - $1,000,000"
HC,C,laptop,50,50,A1V8FJHR0XVNCV,18-25,Female,Bachelors,"$500,001 - $1,000,000"
T,T,camera,50,50,A1VFKCXMNZ2NRL,46-55,Female,High school/GED,"0 - $100,000"
T,T,headphone,48,50,A1VFKCXMNZ2NRL,46-55,Female,High school/GED,"0 - $100,000"
T,T,laptop,50,48,A1VFKCXMNZ2NRL,46-55,Female,High school/GED,"0 - $100,000"
HC,C,camera,41,41,A1VHVWRU911IZY,56+,Male,Bachelors,"0 - $100,000"
HC,C,headphone,37,37,A1VHVWRU911IZY,56+,Male,Bachelors,"0 - $100,000"
HC,C,laptop,38,38,A1VHVWRU911IZY,56+,Male,Bachelors,"0 - $100,000"
HC,C,camera,39,39,A1VR16PZW73C68,18-25,Female,Masters,"0 - $100,000"
HC,C,headphone,43,38,A1VR16PZW73C68,18-25,Female,Masters,"0 - $100,000"
HC,C,laptop,43,41,A1VR16PZW73C68,18-25,Female,Masters,"0 - $100,000"
T,T,camera,47,49,A1VU57PMNIC1B8,26-35,Male,Masters,"$300,001 - $500,000"
T,T,headphone,49,49,A1VU57PMNIC1B8,26-35,Male,Masters,"$300,001 - $500,000"
T,T,laptop,49,50,A1VU57PMNIC1B8,26-35,Male,Masters,"$300,001 - $500,000"
LC,C,camera,40,40,A1VXWKDSHYQ5XX,36-45,Female,Bachelors,"0 - $100,000"
LC,C,headphone,40,40,A1VXWKDSHYQ5XX,36-45,Female,Bachelors,"0 - $100,000"
LC,C,laptop,35,35,A1VXWKDSHYQ5XX,36-45,Female,Bachelors,"0 - $100,000"
LC,C,camera,17,30,A1W845RVTAYPYN,18-25,Male,Bachelors,"0 - $100,000"
LC,C,headphone,28,23,A1W845RVTAYPYN,18-25,Male,Bachelors,"0 - $100,000"
LC,C,laptop,33,36,A1W845RVTAYPYN,18-25,Male,Bachelors,"0 - $100,000"
T,T,camera,49,46,A1WMOJNU4FFQY,56+,Male,Bachelors,"0 - $100,000"
T,T,headphone,42,45,A1WMOJNU4FFQY,56+,Male,Bachelors,"0 - $100,000"
T,T,laptop,42,45,A1WMOJNU4FFQY,56+,Male,Bachelors,"0 - $100,000"
LC,C,camera,47,48,A1WOK29RCE4NT5,36-45,Male,Masters,"$300,001 - $500,000"
LC,C,headphone,48,47,A1WOK29RCE4NT5,36-45,Male,Masters,"$300,001 - $500,000"
LC,C,laptop,48,47,A1WOK29RCE4NT5,36-45,Male,Masters,"$300,001 - $500,000"
T,T,camera,45,46,A1WSCND5HZZV5N,46-55,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,42,45,A1WSCND5HZZV5N,46-55,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,46,47,A1WSCND5HZZV5N,46-55,Female,Bachelors,"$100,001 - $200,000"
LC,C,camera,41,43,A1WT9J6TTJDLKN,26-35,Male,Bachelors,"$100,001 - $200,000"
LC,C,headphone,41,42,A1WT9J6TTJDLKN,26-35,Male,Bachelors,"$100,001 - $200,000"
LC,C,laptop,42,42,A1WT9J6TTJDLKN,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,camera,46,48,A1X84CLJ7N1PLZ,56+,Female,High school/GED,"$500,001 - $1,000,000"
T,T,headphone,45,47,A1X84CLJ7N1PLZ,56+,Female,High school/GED,"$500,001 - $1,000,000"
T,T,laptop,48,50,A1X84CLJ7N1PLZ,56+,Female,High school/GED,"$500,001 - $1,000,000"
T,T,camera,32,31,A1X84T4EFW04GZ,,Male,Bachelors,"0 - $100,000"
T,T,headphone,31,34,A1X84T4EFW04GZ,,Male,Bachelors,"0 - $100,000"
T,T,laptop,30,34,A1X84T4EFW04GZ,,Male,Bachelors,"0 - $100,000"
T,T,camera,49,49,A1XC103XSP8MMD,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,45,45,A1XC103XSP8MMD,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,45,44,A1XC103XSP8MMD,26-35,Female,Bachelors,"0 - $100,000"
T,T,camera,38,39,A1XCA2F28H20FG,46-55,Prefer not to say,High school/GED,"0 - $100,000"
T,T,headphone,42,44,A1XCA2F28H20FG,46-55,Prefer not to say,High school/GED,"0 - $100,000"
T,T,laptop,37,41,A1XCA2F28H20FG,46-55,Prefer not to say,High school/GED,"0 - $100,000"
T,T,camera,31,33,A1XKHQNUEI7AY,36-45,Male,Masters,"$100,001 - $200,000"
T,T,headphone,24,32,A1XKHQNUEI7AY,36-45,Male,Masters,"$100,001 - $200,000"
T,T,laptop,28,22,A1XKHQNUEI7AY,36-45,Male,Masters,"$100,001 - $200,000"
T,T,camera,49,50,A1XY4MG26E4MAY,18-25,Male,High school/GED,"0 - $100,000"
T,T,headphone,47,48,A1XY4MG26E4MAY,18-25,Male,High school/GED,"0 - $100,000"
T,T,laptop,50,50,A1XY4MG26E4MAY,18-25,Male,High school/GED,"0 - $100,000"
T,T,camera,43,41,A1YD71QPMN5MCL,56+,Female,Masters,"0 - $100,000"
T,T,headphone,42,40,A1YD71QPMN5MCL,56+,Female,Masters,"0 - $100,000"
T,T,laptop,40,41,A1YD71QPMN5MCL,56+,Female,Masters,"0 - $100,000"
HC,C,camera,48,49,A1YFFRRABDKJU5,36-45,Male,Masters,"$200,001 - $300,000"
HC,C,headphone,49,48,A1YFFRRABDKJU5,36-45,Male,Masters,"$200,001 - $300,000"
HC,C,laptop,48,49,A1YFFRRABDKJU5,36-45,Male,Masters,"$200,001 - $300,000"
HC,C,camera,38,38,A1ZDUYOAXER5TG,26-35,Female,Bachelors,"0 - $100,000"
HC,C,headphone,38,38,A1ZDUYOAXER5TG,26-35,Female,Bachelors,"0 - $100,000"
HC,C,laptop,40,38,A1ZDUYOAXER5TG,26-35,Female,Bachelors,"0 - $100,000"
T,T,camera,33,33,A1ZHZDLHCBKPK0,56+,Female,Masters,"0 - $100,000"
T,T,headphone,27,27,A1ZHZDLHCBKPK0,56+,Female,Masters,"0 - $100,000"
T,T,laptop,31,31,A1ZHZDLHCBKPK0,56+,Female,Masters,"0 - $100,000"
T,T,camera,48,41,A1ZZETG57T5D5X,36-45,Female,Masters,"0 - $100,000"
T,T,headphone,41,43,A1ZZETG57T5D5X,36-45,Female,Masters,"0 - $100,000"
T,T,laptop,45,22,A1ZZETG57T5D5X,36-45,Female,Masters,"0 - $100,000"
T,T,camera,49,50,A20C6QZRCAMBK6,18-25,Female,Bachelors,"0 - $100,000"
T,T,headphone,50,50,A20C6QZRCAMBK6,18-25,Female,Bachelors,"0 - $100,000"
T,T,laptop,50,50,A20C6QZRCAMBK6,18-25,Female,Bachelors,"0 - $100,000"
T,T,camera,47,49,A20IA63WXHF683,46-55,Female,Bachelors,"0 - $100,000"
T,T,headphone,48,49,A20IA63WXHF683,46-55,Female,Bachelors,"0 - $100,000"
T,T,laptop,38,47,A20IA63WXHF683,46-55,Female,Bachelors,"0 - $100,000"
T,T,camera,40,41,A20MIISE79SV8E,36-45,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,39,42,A20MIISE79SV8E,36-45,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,40,41,A20MIISE79SV8E,36-45,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,50,50,A20MO1Y7HXG6M9,26-35,Female,Prefer not to say,"0 - $100,000"
T,T,headphone,50,50,A20MO1Y7HXG6M9,26-35,Female,Prefer not to say,"0 - $100,000"
T,T,laptop,50,47,A20MO1Y7HXG6M9,26-35,Female,Prefer not to say,"0 - $100,000"
T,T,camera,40,38,A20N9775X5Q5JV,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,36,35,A20N9775X5Q5JV,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,35,34,A20N9775X5Q5JV,26-35,Male,Bachelors,"0 - $100,000"
T,T,camera,45,44,A20QXCW2IQ1JTI,26-35,Female,Masters,"$200,001 - $300,000"
T,T,headphone,45,45,A20QXCW2IQ1JTI,26-35,Female,Masters,"$200,001 - $300,000"
T,T,laptop,45,45,A20QXCW2IQ1JTI,26-35,Female,Masters,"$200,001 - $300,000"
T,T,camera,42,38,A21619G6CCNHEI,18-25,Male,High school/GED,"0 - $100,000"
T,T,headphone,38,38,A21619G6CCNHEI,18-25,Male,High school/GED,"0 - $100,000"
T,T,laptop,40,34,A21619G6CCNHEI,18-25,Male,High school/GED,"0 - $100,000"
LC,C,camera,39,36,A218UHYGK8OVYE,46-55,Male,Doctorate,"$100,001 - $200,000"
LC,C,headphone,50,50,A218UHYGK8OVYE,46-55,Male,Doctorate,"$100,001 - $200,000"
LC,C,laptop,36,26,A218UHYGK8OVYE,46-55,Male,Doctorate,"$100,001 - $200,000"
T,T,camera,46,45,A21F3JVYYDOQ7W,36-45,Male,High school/GED,"0 - $100,000"
T,T,headphone,47,41,A21F3JVYYDOQ7W,36-45,Male,High school/GED,"0 - $100,000"
T,T,laptop,43,42,A21F3JVYYDOQ7W,36-45,Male,High school/GED,"0 - $100,000"
T,T,camera,44,43,A21HKKY734LWFV,36-45,Female,Masters,"0 - $100,000"
T,T,headphone,49,46,A21HKKY734LWFV,36-45,Female,Masters,"0 - $100,000"
T,T,laptop,44,46,A21HKKY734LWFV,36-45,Female,Masters,"0 - $100,000"
T,T,camera,45,43,A21L7K4NROSSF5,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,43,43,A21L7K4NROSSF5,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,43,44,A21L7K4NROSSF5,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,42,46,A21Y7K669KM1PR,46-55,Female,Bachelors,"0 - $100,000"
T,T,headphone,41,41,A21Y7K669KM1PR,46-55,Female,Bachelors,"0 - $100,000"
T,T,laptop,46,48,A21Y7K669KM1PR,46-55,Female,Bachelors,"0 - $100,000"
T,T,camera,36,35,A22IK9IKRXXX12,56+,Male,Bachelors,"0 - $100,000"
T,T,headphone,45,43,A22IK9IKRXXX12,56+,Male,Bachelors,"0 - $100,000"
T,T,laptop,46,42,A22IK9IKRXXX12,56+,Male,Bachelors,"0 - $100,000"
T,T,camera,31,34,A22KU9EVF6IMAR,56+,Male,Bachelors,"$1,000,000+"
T,T,headphone,34,30,A22KU9EVF6IMAR,56+,Male,Bachelors,"$1,000,000+"
T,T,laptop,32,31,A22KU9EVF6IMAR,56+,Male,Bachelors,"$1,000,000+"
HC,C,camera,47,47,A22XNIVOOGZ3DU,26-35,Female,Masters,"$100,001 - $200,000"
HC,C,headphone,34,34,A22XNIVOOGZ3DU,26-35,Female,Masters,"$100,001 - $200,000"
HC,C,laptop,39,42,A22XNIVOOGZ3DU,26-35,Female,Masters,"$100,001 - $200,000"
T,T,camera,42,42,A22YSO271126D8,36-45,Male,High school/GED,"0 - $100,000"
T,T,headphone,43,41,A22YSO271126D8,36-45,Male,High school/GED,"0 - $100,000"
T,T,laptop,41,42,A22YSO271126D8,36-45,Male,High school/GED,"0 - $100,000"
T,T,camera,43,45,A23CKSG4LZJ17I,46-55,Female,Bachelors,"0 - $100,000"
T,T,headphone,45,45,A23CKSG4LZJ17I,46-55,Female,Bachelors,"0 - $100,000"
T,T,laptop,45,45,A23CKSG4LZJ17I,46-55,Female,Bachelors,"0 - $100,000"
LC,C,camera,48,45,A23HANYTQPADUC,56+,Non-binary,High school/GED,"0 - $100,000"
LC,C,headphone,44,41,A23HANYTQPADUC,56+,Non-binary,High school/GED,"0 - $100,000"
LC,C,laptop,50,49,A23HANYTQPADUC,56+,Non-binary,High school/GED,"0 - $100,000"
T,T,camera,41,41,A23K0YTNUJ0GKR,46-55,Female,Bachelors,"$1,000,000+"
T,T,headphone,46,47,A23K0YTNUJ0GKR,46-55,Female,Bachelors,"$1,000,000+"
T,T,laptop,34,35,A23K0YTNUJ0GKR,46-55,Female,Bachelors,"$1,000,000+"
LC,C,camera,37,35,A23N5P4WJOZXFL,26-35,Female,Doctorate,"$100,001 - $200,000"
LC,C,headphone,39,39,A23N5P4WJOZXFL,26-35,Female,Doctorate,"$100,001 - $200,000"
LC,C,laptop,38,42,A23N5P4WJOZXFL,26-35,Female,Doctorate,"$100,001 - $200,000"
LC,C,camera,45,45,A240OTT1T85UGT,36-45,Male,Bachelors,"0 - $100,000"
LC,C,headphone,45,45,A240OTT1T85UGT,36-45,Male,Bachelors,"0 - $100,000"
LC,C,laptop,45,45,A240OTT1T85UGT,36-45,Male,Bachelors,"0 - $100,000"
